Username,Location,Date,Reviews,Rating,Review Titles
Mariam,IT,2023-10-28T19:50:37.000Z,I received a complete and clear answer to my issue.,5,I just check for the best insurance and…
Antonio,SA,2023-10-27T17:59:44.000Z,It was cost effective and self explantory,5,Very fast and reliable
Geza+Balogh,IE,2023-10-25T04:21:36.000Z,"Quick and easy process, especially if travel insurance is being purchased last minute.",5,The fastest way to get travel insurance
GABOR GOMORI,HU,2023-10-24T23:07:58.000Z,"Had a claim for flight delay (more than 12 hours) and got reimbursed for my expenses . They were easy to contact via app and the process of claim was pretty smooth.this gaved me confidence that if any other kind of issue might appear i can rely on them. This was my second-hand time purchasing the insurance from Heymodo, but for sure i will continue to do that.",5,Simple and fast
Marian,RO,2023-10-22T13:09:19.000Z,support replies on a timely manner and best of all their prices are very reasonable.,5,Very easy to use.
customer,AU,2023-10-22T09:02:57.000Z,"Easy to register, friendly online environment.",5,Technology made simple
Sergey,CY,2023-10-21T19:23:44.000Z,"Good, but too restrictive in your upper age limit",5,Very easy insurance application…
Noreen O'Connor O'Mahony,IE,2023-10-19T06:54:23.000Z,"First time I had to use an insurance during a trip, and I have to say that Mondo perfectly supported me during the process I had at the hospital in Mexico as well as by giving me back extra-expensed due to the delay of my return flight to Spain. I totally recommend getting the insurance service with them.",5,Travel Insurance
BRUCE TEIXEIRA,FR,2023-10-18T22:39:39.000Z,"Simplicity, clarity and affordability",4,Easy
giulia,IT,2023-10-18T11:02:47.000Z,I found the firm to be helpful in advising me with their insurance products,1,Deceitful travel insurance
Raoul,GB,2023-10-18T10:25:29.000Z,You should include a brief PDF file with the basic data to activate the insurance in case of need,5,Excellent
zamfirache gabriela,RO,2023-10-17T09:05:06.000Z,3 Sept 2023. Short periods are probably the best when I'm writing this review.,5,user friendly experience online and…
customer,CH,2023-10-16T23:18:58.000Z,"easy process, competitive rate.",5,Simple and very quick
John Salinas,GB,2023-10-16T15:42:40.000Z,web site is clear and detailed. Buying this insurance was easy and fast. Let's see how it works during my coming trip.,5,Easy and friendly way to find what you…
Constantin Artenie,RO,2023-10-16T11:33:52.000Z,I found Heymondo insurance cover very easy and affordable .,1,Bad experience
Filipe Ferreira,PT,2023-10-13T20:17:36.000Z,Traveling office offer  this insurance and i cheked and it was ok for us,5,Very Simple and efficient
customer,MY,2023-10-13T05:44:26.000Z,"The connection was missed due to customs closing their connector line leaving us in general customs at 11:00 PM in ATL. We called Heymondo rep that night who assured us it would be covered. We sent the paperwork needed and after months later, heard back they would not cover our necessary stay and Uber. We stayed in a 1 Star and only had Uber rides, not much. It is the principle of the thing we are disappointed in;  the company is not honoring what the rep said NOR the insurance. How is it possible we won’t be reimburse? It was not anything we could have prevented ourselves. They should pay door to door on flight disruptions. Plus, no calls allowed, only email once trip is over so we sit around waiting for months with back and forth. Pay the extra expenses. We will not use them or recommend them.ADDENDUM: After a couple of months of back and forth emails, they did finally reimburse me a majority of the cost but not all therefore I have increased the stars to 3.",5,Good pricing & easy navigation
customer,CA,2023-10-13T03:50:19.000Z,Very easy to get a quote and sign up.Also the options are clear to choose and very reasonable.,4,Very Competitive Pricing for Inclusive Coverage
customer,CA,2023-10-12T03:28:21.000Z,Customer service enquirer my form not intuitive,5,Easy and fast.
customer,CA,2023-10-09T20:12:24.000Z,Very efficient and helpful feedback on my questions about the suitability of their policy.,5,Easy to apply and great rates.
Caro,CH,2023-10-06T17:53:50.000Z,Sent a query to customer service about a refund for cancelling a booking due to natural disaster - hurricane. It was 4 days ago and nobody contacted me back. Don't think will renew my annual insurance next year.,5,Excellent coverage for a very…
customer,LU,2023-10-06T16:59:23.000Z,"I needed to amend a new policy I had just purchased. E mailed to Heymondo. Job done in a few minutes, new policy documents received, no fuss.Polite, friendly and helpful.",5,The easy process to get the insurance
Dana,CA,2023-10-04T17:15:55.000Z,Fast and easy. Trustable company.,5,Good Coverage for Travel
AlexG,RO,2023-10-02T09:16:05.000Z,"Firstly I think do your research and make sure you read reviews about the service people received with Hey Mondo, not how easy it was to sign up.My experience- it took an extended period of time to be reimbursed for ~ 1700 euro. It took several emails to Hey Mondo and their contracted insurance company IRIS global (who are terrible) to receive my refund.I will highlight I sent blood tests, receipts, doctors prescriptions, contact details of doctors and STILL had to rebook a doctor appointment for the doctor to type a small paragraph to get my refund. I then realised they underpaid me 400 Euro and I once again had resend the same information.I appreciate I got my money eventually, however you MUST be switched on to email, and literally fight for your money back and honestly it was extremely stressful! As a side note IRIS global the company HeyMondo work with are terrible and should be called out for their terrible terrible customer service.Addit reply: The doctor did not write a report, my doctor literally wrote 4 sentences, stating less information then my blood work report. Sorry but it was definitely a way for HeyMondo or Iris to get out of paying a claim unless people really wanted it.The 400 euro missing was a way to see if I would notice something wasn't paid out, because no one told me something was not paid until I did the math and asked for a breakdown of the recipt.Like I said it was paid- but with a lot of hassle, stress, many emails, and loops to jump through. I imagine people claiming less wouldn't waste their time, which is what HeyMondo would hope for.",5,Very easy and fast to receive the quote…
Erick,MX,2023-10-02T00:05:18.000Z,Super fast process to get travel insurance!,5,The experience using the app was very…
MARIAN PAUN,RO,2023-10-02T14:52:15.000Z,It was easy to find information about the insurance package I needed and also very cheap. At the moment I have not present any problem and I hope it continues like this.,5,CAN NOT LOG IN THE APP BECAUSE I DO NOT…
Steve M,IT,2023-10-01T03:30:52.000Z,Quick answers. Great coverage for a great price.,5,Always a trusted product for my travels
Nicolás Strada,AU,2023-09-28T04:13:56.000Z,Easy process of choosing and purchasing a travel insurance.,5,Amazing customer service
Alfredo,CA,2023-09-27T22:40:55.000Z,"Heymondo make purchasing an affordable, quality policy a breeze.Thanks team Heymondo!VRAUstralia",5,Smooth and easy to find the best plan…
customer,MX,2023-09-26T22:12:37.000Z,"easy, simple and efficient.  thank you",5,Every east and straight forward process
James,NL,2023-09-25T20:47:46.000Z,"All good, good service.",1,Purchased via the website
Hiram,PR,2023-09-23T01:16:35.000Z,"I looked around at a number of policies and this one is so reasonable for the price! I haven't had to claim, I haven't travelled yet, but the purchase experience was easy and smooth!",5,Site content very well thought
Kristina Savickyte,GB,2023-09-21T10:26:45.000Z,It was really easy to navigate your site and get the insurance deal we needed.,5,The best travel insurance!
Mr Steven Youngs,GB,2023-09-19T09:03:52.000Z,"Easy to purchase, clearly states what benefits are available. Haven't made trip or needed to use, so can't comment on that. But hey! so far so good!",5,Travel insurance
ROBERTO OROZCO M,CR,2023-09-19T03:31:40.000Z,All is explained in detail and with just a few clicks,5,Easy to buy
Customer Leslie,CA,2023-09-18T22:29:02.000Z,Quick and easy process of purchasing travel insurance online. Clear description of what is included and what is not.,5,Selecting and purchasing was easy!
Gabriel Corduneanu,RO,2023-09-18T18:25:08.000Z,I chose this one because I read great reviews and had no deductables,5,I received a complete and clear answer…
Bea,GB,2023-09-18T08:04:47.000Z,"It’s so easy it feels almost too good to be true!!  Quick, simple and reasonably priced.",4,It was cost effective and self…
customer,TT,2023-09-17T06:57:22.000Z,No hassle @ all. Fair price for a traveler.,5,Quick and easy process
Antonio Miguel  Jimenez Ferres,GB,2023-09-16T00:21:20.000Z,"Clear, easy to navigate, easy to understand.",5,Really easy and complete
Georgiana Voicu,RO,2023-09-13T18:11:00.000Z,"I had to make a refund of a policy I just bought as I became aware that my assurance could still cover me outside my country. I asked for a refund immediately, and soon enough I was able to get my money back. All done within a few days, with much kindness and rapidity from the staff. Thank you heymondo! Absolutely considering you for my next trips!",5,I will purchase again my future insuraces with Heymondo
JustinP,PH,2023-09-13T01:11:47.000Z,Easy to get a quote. Also conditions are easy to read. After accepting the quote I installed the App. Unfortunately the language of the App is Spanish.,5,support replies on a timely manner and…
Erik Stout,NL,2023-09-12T10:29:31.000Z,I really like the coverage amounts and details. The price of the policy is good. I like the COVID coverage. The process of signing up was very easy.,5,Easy to register
customer,NZ,2023-09-11T23:04:40.000Z,Great service and easy to use,4,Good
Javier Avilés,ES,2023-09-11T16:30:10.000Z,"I am adding another negative review. I will keep leaving negative reviews until Heymondo and AXA, the company they contract with, actually tell me the truth and do something about my bill. This medical occurrence was two years ago and it has yet to be resolved. Every time I leave a negative review, Heymondo replies with a polite lie saying that it's lack of communication from the medical center (which is absolutely not true...I am an American and I know how the system there works) or that it was a technical error within AXA. I cannot tell you how many times I have followed up with emails and phone calls with Heymondo. The bottom line is, they do not pay on claims. I wasted the money I spent on the premium. And now my credit rating in the U.S. is ruined because the bill has gone to a collection agency for the second time. Do yourself a favor and look elsewhere!",5,First time I had to use an insurance…
customer,DE,2023-09-11T10:45:10.000Z,Easy to order. Good price,5,Easy and fast.
Gianni,IT,2023-09-07T12:34:25.000Z,"Easy to understand.I was looking for an insurance that would provide direct payment to the hospital in case of emergency, and that point was very well advertised in the homepage of the insurance.",5,Simplicity
customer,GB,2023-09-06T10:12:12.000Z,Excellent Customer Assistance - I needed a product change months after I made the purchase.,5,Helpful
Leticia Bastos Spada,BR,2023-09-06T00:55:17.000Z,"My experience with Heymondo is limited, for the moment, to the unsuccessful attempt to take out an insurance contract for a trip that I will soon make to the USA with my family.Once the most advantageous proposal has been identified for me, I begin with the stipulation procedure (in practice with the insertion of my personal data and those of my family members); An attempt that, however, breaks against the lack of foresight of those who materially designed the portal: the form, in fact, does not allow you to enter more than 20 characters for the surname of my two children (limitation that does not exist, however, for the name of those who stipulate the contract).What to do at this point? Truncate their surname (a double one and therefore longer than 20 characters) with the risk of having a beneficiary with a surname different from the real one included in the contract? Who knows!This alone - for a company that operates exclusively online - is somewhat perplexing. How can you establish in 2023 such a property (only 20 characters!!) for a form-field that must contain someone’s surname, whereas in Europe there are not a few with the double surname?! Therefore, the thing is totally meaningless (a mistake all the more unforgivable for a company born in Spain).But what seems even more senseless (especially in summer) is to limit technical assistance (of which there is no telephone ""version"") to weekdays only, so, being today Saturday, I will have to wait until Monday in the hope that someone responds to the email I sent to report the technical problem that does not allow me to complete the operation (in the sense that I do not want to enter personal data trunks and therefore inaccurate). I therefore await news in the hope that the continuation of my experience with Heymondo may know better times.Update:On Monday they solved the issue!",5,brief PDF file
Franca M. 1945,IT,2023-09-03T12:55:52.000Z,"Easy to sign up, clear and quick process. Good price",5,Good conditions and reasonable price.
Michael,AU,2023-09-02T22:52:45.000Z,"Ease of purchase, great coverage, cost analysis winner",5,easy process
customer Vladimir,CA,2023-09-01T22:07:41.000Z,"Upcoming big trip and checking into travel insurance. Huge differences in $$. Had never heard of HeyMondo, but their price was great in comparison. Thoroughly checked into company, read reviews and decided to purchase. Process was quick & easy. Fingers crossed I won't need it, but...good to have.",5,It is simply 👍 great
MARIKA R.,IT,2023-09-01T13:20:57.000Z,The process from quote to buy was very efficient and quick.,4,Easy to buy
Simon Charan,NZ,2023-08-31T11:20:13.000Z,So easy and instantaneous. Seems cheap too. What more could you want?,5,Easy and Reasonable
customer,BE,2023-08-28T08:21:59.000Z,Great help when choosing insurance and answering questions,5,Traveling office offer  this insurance…
Shannon M Norris,US,2023-10-26T22:21:04.000Z,"Since we know that we will be travelling over a couple of regions, it was so easy to select the world excluding USA/Canada...rather than try and select all the potential countries we were looking at travelling through which may or may not happen",3,The connection due to customs closure
Ritesh,AU,2023-08-27T08:10:16.000Z,Safe and sound!,5,Quick and Easy
customer,US,2023-08-27T04:55:43.000Z,easy to purchase and best trip cancel amount,3,Customer service enquirer my form not…
Allison Hauk,AU,2023-08-26T08:19:37.000Z,"Easy, fast, no glitches. Excellent value for the coverages provided. Hopefully we don’t have to use it, but if we do I hope that the service and support will be as good as the prices.",5,The purchase process was simple
Me,GB,2023-08-25T13:36:22.000Z,"After lot of research, we decided to go with heymondo for our cruise trip.  The online purchase process is seamless and easy to follow.  Best+++",5,Very efficient and helpful feedback on…
Luca Montagnino,NL,2023-08-25T04:46:06.000Z,I would have liked more detail in a summary or bullet format of what it does not include.,1,no answer after 4 days!
Martine Simms,GB,2023-08-23T11:08:37.000Z,"I compared multiple travel insurance providers and this was reviewed as a young but very efficient company and practical to manage because you get everything done through the app. 3 plans, clear to understand the difference protections offered. The Premium I chose covers more than other contracts provided from other insurers at a better price. Quick purchase experience. I will update this review if I need the company’s services.",5,POLICY AMENDMENT
Oana Busuioc,GB,2023-08-22T14:44:53.000Z,"I FEEL THE PRICE IS GOOD THE CUSTOMER SERVICE IS VERY GOOD BUT THERE APP IS NOT READILY AVAILABLE ON ALL PHONES, SO I NEEDED TO DOWNLOAD WHATSAPP WHICH NO ONE TOLD ME SO I HAD TOO RESEARCH UST IN CASE I HAVE A PROBLEM..OTHERWISE THEY WOULD HAVE GOT 5 STARS..",5,Fast and easy
Jim Hall,ES,2023-08-22T13:23:55.000Z,Easy! Done in just few clicks,4,Fast and easy to arrange
Maashley P,FR,2023-08-18T21:03:25.000Z,Quick quote and easy to purchase.,2,"Hard work to gain your refund, customers inform yourself"
customer,RO,2023-08-15T17:09:16.000Z,Easy to understand benefits and make payment.,5,Super fast process to get travel…
customer,PE,2023-08-15T04:17:35.000Z,Easiest form filling ever. It took me less than a minute to fill out the form and purchase my insurance. The premium was also excellent.,4,It was easy to find information
customer,JP,2023-08-13T08:24:38.000Z,It's simply the best insurance. Any problem at any time they would help me so fast by giving me the closest address to where I could get some medical help,5,Easy to use website and good price
customer,PR,2023-08-11T23:02:33.000Z,"Compared to other entities offering a similar service, it was easy to navigate and understand what you were purchasing.",5,Quick answers
customer,FI,2023-08-11T17:07:01.000Z,The web site was easy to use and the policy reads like a good one. Hopefully we will not need to use it.,5,Easy process of choosing and purchasing…
Vick Rd,AU,2023-08-11T00:44:02.000Z,"Se solucionó mi incidencia enseguida, todo perfecto",5,Heymondo does its job well
Louise Belisle,PA,2023-08-10T22:08:58.000Z,Easy to register with very good expenses coverage.,5,easy!
customer,FR,2023-08-09T18:34:25.000Z,The website and User Interface are so easy to use. Layout and text are all very clear.   The three insurance offerings offer great flexibility according to how much coverage you want.  I gave it a 4 only because it would be great to have an easy head to head comparisons of the differences in options.  I did much research into other providers and programs and this one was the most coverage at best prices - especially for medical coverage,5,"Super and sure,thank you"
customer,RO,2023-08-08T14:26:59.000Z,"I emailed about an incorrect entry to my insurance, and my issue was sorted in less than 24 hours courtesy of Sonia. She's courteous, polite, her responses were a spot on, and she did exactly what was asked without beating around the bush.Keep doing the great work!",5,The whole process was very simple
Nivine ,AE,2023-08-06T17:55:27.000Z,I’m very thankful for Myriam & Soñia for their patience and great explanations about the different kind of insurances.I have learned a lot and feel I will choose the best combinations between annual multitrip for trips shorter than 60 days & long stay / single trip for extra longer trip beyond the 60 day period.I like Heymondo and feel I’m in good hands. Gracias 🙏,5,Simple and fast
Martina,US,2023-08-05T02:24:53.000Z,Seamless buying process. UI of the app is amazing. They also helped editing the info I missed and their reaction time was very fast. I am very happy so far.,5,All good
Jacqui,GB,2023-08-04T15:05:05.000Z,website navigation is easy. Pleasant interface. Page load speed on mobile is fast!,5,great value for money
Rose,AU,2023-08-02T09:18:08.000Z,"Unable to create an account in the App or in the web site. ""There was an error when registering, please try again later"".",5,Very easy to navigate.
Richard B,US,2023-07-31T17:55:33.000Z,It was easy to get a quote and purchase my insurance!,5,Easy to purchase
Raul,DE,2023-07-30T12:30:00.000Z,its the best on the market,5,Swift and helpful booking
customer,IN,2023-07-29T18:20:16.000Z,Everything is great apart from the app which is not in english language especially at the beginning where u have to set it up.,5,Quick and easy process of purchasing…
Marina Cocconi,ID,2023-07-29T10:48:34.000Z,"I called to open a case because my airline cancelled my flight. I had to pay out of pocket to make up for the cancellation. (hotel and additional airfare) I was told I'd get a call back, I never received a call back. I tried to call back myself the next day and no one answered the phone.",5,Easy and reliable. I will use again
Annelie Eriksson,GB,2023-07-27T08:50:35.000Z,It was very easy to understand the coverage & enroll. Plus the prices are very reasonable.,5,A great service that makes life easier!
customer,SA,2023-07-26T06:16:53.000Z,A very easy and simple user experience. Thumbs up!,5,No hassle
Arthur,US,2023-07-26T03:25:52.000Z,"I purchased a Heymondo medical policy for a trip to the US and unfortunately I had to make a claim after waking up one morning with serious abdominal pain.About one hour after calling Heymondo and being put in touch with their US consultant, I was sent to an urgent care center not far from where I was staying. Heymondo took care of the bill directly, although the process was a bit unusual: I had to give the urgent care center the phone number for Heymondo, and then Heymondo gave the clinic their credit card information over the phone. Unfortunately, urgent care referred me to the ER for imaging. After submitting the referral and other paperwork to Heymondo (including a copy of my plane ticket to verify the dates of my trip), it took about an hour and a half for Heymondo to provide me with authorization to go to the ER of my choice. I was given a claim code from the American insurer Aetna, which meant that I didn't have to put the ER charge on my credit card and then make a claim later. I was then prescribed an antibiotic, which I made a separate claim for and I was reimbursed the following business day.Overall, this was a pretty positive experience and I don't have any serious complaints. The biggest frustration is that over the course of the day I dealt with 3 or 4 different 'consultants' but the benefit here is that the process was outsourced to an office familiar with healthcare in the US. Many of the emails I received - including the initial message which told me which urgent care center to visit - were in Spanish, but google translate took care of that.I am quite pleased with how everything worked out and I will definitely continue to use Heymondo for travel insurance.",5,Clear and Easy
GiovanniC,FR,2023-07-24T20:32:19.000Z,I am satisfied because during my travels I was self,5,I had to make a refund of a policy I…
customer,NL,2023-07-22T21:45:59.000Z,The fact that it was fast and easy.The insurance value made the policy purchase a great value (reasonably priced versus policy values),4,Easy to get a quote
Laurie C.,US,2023-07-22T00:02:55.000Z,"It's fast, simple and reasonably priced.",5,Really good coverage
Vinder,CH,2023-07-19T13:07:52.000Z,"I asked questions which were not answered. I chose this company as rate seems exceptionally good, I travel every year to a foreign company and while I hope to “never” use it …",5,Last minute travel insurance
Claudio Moretti,TH,2023-07-19T12:28:54.000Z,Bad customer support and confirmation of enrollment 4 days later!!!!,5,Great friendly communication
Susan Powell,US,2023-07-19T09:35:31.000Z,"Simple, transparent, good value for money, good working technology",1,They DO NOT pay claims.
Norman Hansen,TH,2023-07-19T07:17:17.000Z,It’s a user friendly site and highly recommended.,5,Easy to order
customer,JP,2023-07-19T06:55:15.000Z,"Easy to use, great policy, quick and no hassle sign up!",5,Easy to understand
customer,US,2023-07-17T15:41:16.000Z,Just easy. Super simple. Super Quick. Only what you need and no red tape.,5,Excellent Customer Assistance
MR,US,2023-07-17T15:35:41.000Z,"Easy to understand the policy options to match them to our requirements.    I hope that if I ever need to make a claim, I can say the same.",5,Fast and reliable
customer,US,2023-07-16T16:04:08.000Z,"Fair and square before the trip... After, I'll tell you!",5,quick and easy
customer,NO,2023-07-16T10:52:31.000Z,This company was recommended by a family member who does a lot of international travel.It was easy to navigate and very reasonable. I'm glad I found it.,5,seamless online transaction.
Robert,IT,2023-07-18T11:29:08.000Z,"Third use of Heymondo this time.I have a family member who had a substantial claim after Covid, with complications, and all the clams were paid by Heymondo.",4,The design/programming of the site could/should have been done better
customer,CY,2023-07-15T14:56:00.000Z,"The site was easy to use and very straightforward as well as economical.  Hopefully we will never have to use it, but that's the point of insurance.",5,Easy to sign up
Travelhound,US,2023-07-14T13:21:06.000Z,The Heymondo website was so easy to use! Heymondo's prices were reasonable and a good deal for the traveller.,5,Go for it
Jude Del Monte,AE,2023-07-14T10:11:52.000Z,"Eventually I received my payout, the company that underwrites heymondo, IRIS global, attempted not paying after I was given bad advice on their phone lines. However, after being told a flat no in a one sentence email for a claim worth around £3,500, I left a bad review here and Heymondo were then quick to contact IRIS on my behlaf and get my claim paid (shock). Thanks to Alessandra for sorting, but I must admit that ideally I wouldn't have to go through months of emails and no's before receiving my payout.",5,Easy and friendly user
JS,US,2023-07-12T21:38:45.000Z,"Looking at other travel insurance, most were much more expensive for similar coverage.  Heymondo was the only carrier I found that provided COVID-19 coverage.  Super fast too.",5,"Great reviews, rating, and price!"
JC,US,2023-07-12T21:28:32.000Z,Purchase experience was easy and I was able to get the features I need for my travel insurance.Hoping that if I have to make a claim that process is equally easy!,5,The process from quote to buy was very…
customer,ES,2023-07-11T19:58:05.000Z,"Had an issue with after ordering a policy bc the quote given was less than the amount charged, but support was very helpful and was able to refund me without any troubles. Placing another policy will have a 72hr wait time before it becomes effective though, so plan accordingly.",5,So easy and instantaneous
customer,US,2023-07-11T04:58:26.000Z,"Best travel insurance company you are going to find. Serious, reliable and excellent customer service . App is wonderful and really easy to use. I could not be happier.  They also offer competitive prices and the best coverage when traveling abroad.",5,Great help when choosing insurance and…
Sonia,AU,2023-07-10T23:09:12.000Z,Very easy to see whats included- at a good price!As a Travel Agent- I couldnt find an Insurance Co. that would cover one of my Australian clients currently based in Egypt ( in the Royal Aust Airforce- peace keeping mission)He was off to Italy for 2 weeks- and it was one of the Australian Insurances that recommended HEYMONDO! Thanks the stars he did! Pax very well covered and delighed with cost ( he expected heaps more)  Traci from Cloud 9 Travel Australia,5,Affordable and Easy to Use!
LemonXXX,IT,2023-07-10T23:00:14.000Z,Convenient for expats like me living in NL. Not working yet due to taking sabbatical from working for 11 years in SG. Value for money for  short trips insurance. Thank you Heymondo =o),4,Fast and Easy
customer,US,2023-07-10T21:45:18.000Z,Good quote options. Easy steps to follow. Being able to download their app for assistance and login with details incase it’s needed! The only travel insurance for expats flying from a country which is not their home country,5,Very easy to use web site
customer,CA,2023-07-10T17:05:20.000Z,"Bought a travel insurance for my twin sister.  Really easy and efficient.  Top marks again, for the world's best travel insurance <3",5,easy to purchase and best trip cancel…
Lee in Delaware,US,2023-07-10T03:11:50.000Z,"I had a positive buying experience with Heymondo. The process of selecting the right coverage and obtaining relevant information was straightforward and hassle-free.While I have yet to embark on my trip, I am unable to provide feedback on the claim process at this time.",5,Easy!
TRI,US,2023-07-09T19:55:06.000Z,"Easy, efficient and fast!",5,After lot of research
customer,US,2023-07-09T08:47:32.000Z,Very easy to use the web site and sign up.,4,I would have liked more detail in a…
Ste,IT,2023-07-08T12:57:36.000Z,within 10 minutes my second search for travel insurance on a shorter time period the cost for the same insurance went up by $100 - it doesnt make me feel very confidant to be honest - fortunatley I hadnt closed the cheaper window.,5,"Practical, clear and fast to subscribe"
Vincent Caiazzo,US,2023-07-08T01:53:16.000Z,"It was fast, easy and a fair price. Never had to file a claim before and hope I never do but it gives me a peace of mind",4,I FEEL THE PRICE IS GOOD THE CUSTOMER…
Carmine,IT,2023-07-05T14:01:45.000Z,Easy to use and very clear to understand advantages contained in each option to choose,5,Easy
customer,PH,2023-07-05T12:52:12.000Z,Easy to purchase and retained all my personal details from previous bookings.  That made it super easy to arrange the policy.,5,It’s convenient for the first timer.
CS,DE,2023-07-05T10:16:47.000Z,"Very practical, efficient and economic! Great choice for short and last-minute trips",5,Quick and easy
customer,US,2023-07-04T23:46:22.000Z,the quotation system is very clear which simplifies understanding which package to choose. I had came across this insurance through online research and thought it is worth trying out for an upcoming trip to Europe.,5,Easy to navigate
Kathleen,US,2023-07-04T18:15:15.000Z,The process was very easy after verification of all my documents in secured way. I downloaded the app on my phone as well. Thanks very much! My wife and I feel better for our travel!,5,Easy to understand benefits and make…
customer,GB,2023-07-03T21:23:26.000Z,Easy to apply for the insurance and reasonably priced.  Got insurance for my wife and for a 2 week trip to Iceland.,5,Easiest form filling ever
customer,US,2023-07-03T20:30:29.000Z,"Is easy, have what I need for tge country that others don't and for a great price",5,Easy to purchase.
Alessia,ID,2023-07-03T19:38:17.000Z,I asked to cancel one of the travelers in the insurance I bought an I got ALL the travelers cancelled! Stupid! Seems you cant read!So I had to go in and buy the policy AGAIN!,5,It's simply the best insurance
customer,SO,2023-07-03T13:36:08.000Z,So easy to use!  Very affordable,3,Compared to other entities offering a…
Andreliz,PR,2023-07-02T18:37:12.000Z,"My experience with Heymondo was wonderful during the purchase process for travel insurance. They were very helpful and friendly, informative and timely in following up with me with answers to any questions. This is the ONLY reason I am giving them a 2-star review. Unfortunately we had to file a claim with the insurance company, Iris Global, so all communication then switches from Heymondo to Iris Global. Let the nightmare begin. Upon filing the claim I spoke with a Heymondo representative who was most helpful and sympathetic due to the circumstances of my mother passing away. I have never spoken with anyone from Iris Global, only communication is via email. I have been asked for multiple documents and receipts and proof of payment for our trip - all of which were submitted to their satisfaction. After reviewing these documents I am informed nothing submitted is covered stating the reason is the trip had already started when the claim was filed - which was a few hours into day one. The excuse of “trip cancellation” no longer valid is ridiculous as the trip was with Avalon Fishing started in 2 days. This would be the most costly part of the reimbursement so it did not surprise me when I was asked for more documentation regarding this part of the claim. But then to still be denied only makes me more suspicious they were looking for some kind of “loop hole” to get out of reimbursement. And if trip cancellation does not apply why doesn’t trip interruption apply? This is clearly listed in the policy coverage. I am frustrated with the difficulty communicating with someone other than email and have requested to speak with someone via phone several times now. I reached out to Heymondo in a desperate attempt for assistance and did receive an immediate response which I do appreciate but unfortunately this does not really help when dealing with a claim. I will say Heymondo initially followed up with me when the claim was first submitted just to check in as a courtesy and they have always been timely in responding to me but they are not able to do anything more during the claim process as I have been told. Heymondo - the insurance policy with Iris Global is apparently useless and your partnership with Iris Global should be re-examined in my opinion. It is night and day in customer service and communication but most importantly they are not honoring the insurance policy you are selling which should be a concern. Nobody wants to make a claim for a planned trip especially for the reason of your mother passing away and if you should have to it shouldn’t be an ongoing nightmare as this has been while grieving the loss of my mother. You buy trip insurance for reassurance and security if something were to happen and hope you never have to submit a claim. This has been the worst experience in submitting a claim and this includes Hurricane Florence claim while living in Wilmington, NC. I would not recommend purchasing a policy with Heymondo simply because of Iris Global - no matter how nice and helpful the representative is to you.",5,Great prices for insurance and reliable
Nelson,PR,2023-07-03T18:14:49.000Z,"easy to use website, concise and short application form.proof.of insurance instantaneous",5,So far so good
JM,ES,2023-07-01T19:49:09.000Z,Very easy site to access.Simple layout.,5,Se solucionó mi incidencia enseguida
John G.,GR,2023-06-29T22:00:08.000Z,Easy process. Quick and painless checkout! I loved it,5,EASY TO REGISTER
customer,US,2023-06-29T02:37:26.000Z,"Heymondo provided easy to understand, plain language policy explanations, policy value, as well as prompt customer service response.  I was able to find examples of real claims and policy service that made me even more confident about my decision. Heymondo made my travel policy decision an easy choice.",5,Easy to purchase
Jeff Siewert,US,2023-06-28T21:28:28.000Z,"Easy to use, and my needs are met for the best value.",4,Easy to understand and use!
Carla,PH,2023-06-28T17:09:42.000Z,"It was quite easy to buy a product, you get your quote right away, nobody call you, with all kinds of offers. It's all easy and clear. I will be back with a new review them if I will use the insurance( fingers crossed I will not need it)So far, all good!",5,A Prompt and Spot-on Service!
Elior Corleone,ES,2023-06-27T13:57:36.000Z,Easy to navigate site. Good choice and reasonable rates. Made purchasing quick and easy,5,I’m very thankful for Myriam & Soñia…
Adem,JP,2023-06-26T17:11:37.000Z,"Easy to navigate site and good prices.  Being an insurance, it is almost certain most people will not use it.  Regarding service,  we don't know till we need them. As for that, I will reserve judgement.  However, as of now, buying and paying is easy.",5,Seamless buying process
SeattleSonya,US,2023-06-26T00:19:24.000Z,"An edit to the previous review of mine:Heymondo worked to solve this problem with wonderful efficiency. Their customer service support was top notch. The issue was mostly resolved and what wasn't was just due to the fact that the policy wording couldn't cover the specifics of the claim as it was a case of negligence on the part of the airline. However, Heymondo went above and beyond here and restored my confidence with them. The company (Iris Global) that they brokered with for the claim left a bit to be desired in their communication skills but Heymondo interceded beautifully.So what is the point of an insurance policy with HeyMondo if they won't cover a claim of:1. Denied Boarding2. Arrival 1 day late3. Arrival to wrong cityI received an email 3 weeks after my claim simply saying that having looked at my policy my claim is not covered and no other explanation. But I would think that these items would be quite typical claims on travel insurance, wouldn't they? Despite my having provided exhaustive paperwork, they won't elaborate on what reasons they have to deny my coverage or what part of the policy prevents this claim. Maybe if their customer service team actually laid out their reasoning I'd listen but when the airline refuses to compensate a passenger for denied boarding, won't cover their hotel and doesn't get them back home for another day that's usually when travel insurance should kick in, isn't it? And if somehow not covering denied boarding, late arrival and arrival to the wrong airport is in the policy then maybe HeyMondo's insurance isn't all it's cracked up to be. I have another 10 months to go on my 1 year policy but have a feeling I may as well be traveling without insurance after my experience with them.I did give them 2 stars though instead of 1 because of their sleek-looking app. It was a nice veneer to the service that was actually offered.",4,Easy to use website
